instance_id,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
72967.0,Justin Townes Earle,Ain’t Got No Money,37.0,0.418,0.445,185096.0,0.655,5.19e-06,D,0.0829,-7.402,Minor,0.0694,108.406,4-Apr,0.62,Blues
91308.0,Arthur Conley,This Love of Mine,0.0,0.5670000000000001,0.517,204547.0,0.139,1.18e-05,F#,0.118,-19.194000000000003,Major,0.0366,131.127,3-Apr,0.251,Blues
25574.0,Heartless Bastards,Into the Open,33.0,0.165,0.306,264267.0,0.6629999999999999,0.145,C,0.115,-5.299,Major,0.0331,151.10399999999998,4-Apr,0.255,Blues
61518.0,,Never Coming Home,33.0,0.102,0.596,207680.0,0.718,0.0,A,0.268,-5.266,Major,0.0314,130.509,4-Apr,0.711,Blues
56443.0,Gary Clark Jr.,Hold On,31.0,0.3329999999999999,0.492,226720.0,0.685,1.9e-05,A#,0.12,-5.553999999999999,Minor,0.118,173.375,4-Apr,0.705,Blues
26335.0,The Flying Eyes,Lay With Me,38.0,0.182,0.288,347853.0,,0.0004219999999999,E,0.157,-3.5660000000000003,Minor,0.0345,141.564,4-Apr,0.318,Blues
28832.0,Hound Dog Taylor,Give Me Back My Wig,29.0,0.0346,0.642,215800.0,0.708,0.0103,A,0.0844,-13.402,Major,0.0543,108.14299999999999,4-Apr,0.775,Blues
74127.0,Albert King,Personal Manager,20.0,0.485,0.471,-1.0,0.313,0.209,C,0.0485,-10.73,Major,0.0913,183.514,3-Apr,0.3339999999999999,Blues
68600.0,The Black Crowes,Remedy,44.0,0.00164,0.401,322640.0,0.977,4.04e-06,A#,0.0767,-3.798,Minor,0.0573,160.513,4-Apr,0.3289999999999999,Blues
88537.0,Gregg Allman,Midnight Rider - Live,24.0,0.179,0.614,310707.0,0.47,0.0561,D,0.87,-7.957999999999999,Minor,0.0329,88.163,4-Apr,0.238,Blues
71902.0,The Allman Brothers Band,"One Way Out - Live At The Fillmore East, 1971",31.0,0.59,0.54,299176.0,0.5660000000000001,0.0763,A,0.933,-12.267,Major,0.0376,106.67399999999999,4-Apr,0.7190000000000001,Blues
48966.0,Phish,Silent in the Morning,24.0,0.787,0.4589999999999999,328533.0,0.546,2.24e-06,G,0.11,-10.605,Major,0.0381,98.605,4-Apr,0.39,Blues
50602.0,Steely Dan,Daddy Don't Live In That New York City No More,32.0,0.118,0.843,195867.0,0.595,0.0,A,0.1009999999999999,-10.496,Major,0.0373,111.92399999999999,4-Apr,0.7929999999999999,Blues
66207.0,Albert Collins,"Cold, Cold Feeling",44.0,0.1669999999999999,0.7070000000000001,319360.0,0.148,0.00763,D#,0.085,-17.891,Minor,0.0397,147.821,3-Apr,0.466,Blues
47018.0,empty_field,Green-Eyed Girl,23.0,0.6,0.5710000000000001,207827.0,0.417,2.02e-06,B,0.113,-11.716,Major,0.0253,87.66799999999999,1-Apr,0.555,Blues
76519.0,Phish,Loving Cup,26.0,0.176,0.188,367773.0,0.939,6.06e-05,G,0.902,-4.398,Major,0.0747,163.556,4-Apr,0.521,Blues
43801.0,Wynona Carr,Please Mr. Jailer,38.0,0.741,0.617,182040.0,0.324,0.0,A#,0.156,-11.495,Minor,0.047,82.14299999999999,4-Apr,0.802,Blues
85570.0,Leon Bridges,Coming Home,64.0,0.461,0.427,206387.0,,5.520000000000001e-05,F#,0.154,-6.595,Major,0.0291,112.137,3-Apr,0.4579999999999999,Blues
23408.0,The Heavy,Hurt Interlude,,0.0085799999999999,0.297,68827.0,0.507,0.648,D,0.3929999999999999,-10.011,Major,0.0447,177.91099999999997,1-Apr,0.4679999999999999,Blues
43662.0,Albert Cummings,Workin' Man Blues,37.0,0.00722,0.596,237213.0,0.882,0.00191,G#,0.31,-7.241,Major,0.1,107.01899999999999,4-Apr,0.746,Blues
59169.0,The Yardbirds,The Train Kept A-Rollin',,0.102,0.483,208493.0,0.6920000000000001,1.21e-05,B,0.102,-9.995,Minor,0.0363,89.05,4-Apr,0.935,Blues
38047.0,Black Rebel Motorcycle Club,Echo,27.0,0.00698,,313621.0,0.7240000000000001,0.000246,D,0.121,,Major,0.0301,92.223,4-Apr,0.3229999999999999,Blues
70280.0,Gary U.S. Bonds,Jole Blon,30.0,0.0311,0.502,205160.0,0.931,0.0,C,0.427,-6.099,Major,0.035,131.286,4-Apr,0.966,Blues
56032.0,empty_field,Mr. McTell Got the Blues - 2003 Remastered,31.0,0.913,0.614,137693.0,0.136,3.01e-06,A#,0.0891,-14.095,Major,0.038,113.96700000000001,4-Apr,0.527,Blues
55935.0,empty_field,D-7,35.0,0.0146,0.35,245067.0,0.721,0.365,E,0.3389999999999999,-5.729,Major,0.0447,91.514,4-Apr,0.218,Blues
65620.0,Jethro Tull,Nothing Is Easy - 2001 Remaster,32.0,0.146,0.436,264347.0,0.6509999999999999,0.0257,A,0.1939999999999999,-11.818,Minor,0.0596,106.23,3-Apr,0.667,Blues
88912.0,Grace Potter & The Nocturnals,Goodbye Kiss,22.0,0.143,,-1.0,0.597,3.12e-05,F,0.15,,Major,0.0298,?,4-Apr,0.6679999999999999,Blues
44988.0,Shemekia Copeland,Married To The Blues,28.0,0.291,0.5720000000000001,432200.0,0.248,0.0444,B,0.0813,-10.86,Minor,0.0337,127.564,3-Apr,0.302,Blues
25554.0,Jane's Addiction,Had a Dad,34.0,0.000792,0.528,225240.0,0.947,0.00367,G,0.113,-9.669,Major,0.0673,?,4-Apr,0.544,Blues
68007.0,Santana,Paraísos Quemados,42.0,0.588,0.627,359187.0,0.7829999999999999,0.00618,C,0.0843,-2.715,Major,0.037,122.76100000000001,4-Apr,0.8640000000000001,Blues
70106.0,Joe Bonamassa,Dust Bowl - Live,,0.537,0.319,295373.0,0.82,0.00062,E,0.726,-6.814,Minor,0.0475,169.375,4-Apr,0.1889999999999999,Blues
45064.0,Lloyd Price,Just Because,35.0,0.8690000000000001,0.596,168360.0,0.3989999999999999,0.00011,D#,0.0883,-8.325,Major,0.0316,111.145,1-Apr,0.851,Blues
